TimeStamp,"Average  Wind Speed
(m/s)","Average  Wind Dirction
(deg)","Average Active Power
(MW)","Forecasted Power 
(kW)"
8/3/21 18:00,11.6633,184.4567,100.8012,100.4339
8/3/21 18:10,11.6533,185.1333,100.8250,100.5509
8/3/21 18:20,11.8800,185.4100,101.2402,101.2927
8/3/21 18:30,12.1800,185.2267,101.4077,101.3749
8/3/21 18:40,12.6000,184.5833,101.5521,101.6681
8/3/21 18:50,13.0800,183.7033,101.8022,101.7432
8/3/21 19:00,13.1167,183.0333,101.8527,101.8927
8/3/21 19:10,13.1633,182.8167,101.9064,101.9580
8/3/21 19:20,12.7467,183.2067,101.6950,102.1772
8/3/21 19:30,12.6000,184.1233,101.6022,102.2362
8/3/21 19:40,12.6933,184.2367,101.6219,102.2833
8/3/21 19:50,12.8467,185.8333,101.7452,101.9410
8/3/21 20:00,12.9133,188.0300,101.7461,102.0081
8/3/21 20:10,12.6200,189.2567,101.6301,101.9881
8/3/21 20:20,12.5867,190.2333,101.5642,102.0228
8/3/21 20:30,12.7633,191.1400,101.6974,102.1012
8/3/21 20:40,12.6733,191.9033,101.6617,101.9413
8/3/21 20:50,12.7233,192.0633,101.6784,102.0052
8/3/21 21:00,12.7100,193.4033,101.6390,102.0181
8/3/21 21:10,12.6567,193.6967,101.6117,102.0809
8/3/21 21:20,13.0600,193.8767,101.8029,102.0145
8/3/21 21:30,13.1300,193.9700,101.9208,102.0783
8/3/21 21:40,12.9600,194.1600,101.7597,102.1667
8/3/21 21:50,12.9400,194.1567,101.7777,102.2215
8/3/21 22:00,13.1267,194.6733,101.8568,102.2703
8/3/21 22:10,13.2033,195.1000,101.9951,102.2763
8/3/21 22:20,13.4567,195.5100,102.1683,102.3205
8/3/21 22:30,13.3600,195.7567,102.1056,102.2626
8/3/21 22:40,13.1867,184.4000,101.9707,102.3075
8/3/21 22:50,13.2300,185.7167,101.9321,102.4517
8/3/21 23:00,13.1333,196.8900,101.9354,102.4894
8/3/21 23:10,12.7500,185.2000,101.7137,102.3234
8/3/21 23:20,12.6400,185.5867,101.6160,102.3637
8/3/21 23:30,12.3700,186.9233,101.4557,102.2403
8/3/21 23:40,12.3900,186.3600,101.4538,102.2857
8/3/21 23:50,12.2433,186.1667,101.4087,102.0485
