Date & Time,"Average  Wind Speed
(m/s)"," Average  Wind Dirction
(deg) "," Average Active Power
(MW) "," Forecasted Power 
(kW) "
8/3/2021 18:50,13.08,183.7,101.8,101.74
8/3/2021 19:00,13.12,183.03,101.85,101.89
8/3/2021 19:10,13.16,182.82,101.91,101.96
8/3/2021 19:20,12.75,183.21,101.7,102.18
8/3/2021 19:30,12.6,184.12,101.6,102.24
8/3/2021 19:40,12.69,184.24,101.62,102.28
8/3/2021 19:50,12.85,185.83,101.75,101.94
8/3/2021 20:00,12.91,188.03,101.75,102.01
8/3/2021 20:10,12.62,189.26,101.63,101.99
8/3/2021 20:20,12.59,190.23,101.56,102.02
8/3/2021 20:30,12.76,191.14,101.7,102.1
8/3/2021 20:40,12.67,191.9,101.66,101.94
8/3/2021 20:50,12.72,192.06,101.68,102.01
8/3/2021 21:00,12.71,193.4,101.64,102.02
8/3/2021 21:10,12.66,193.7,101.61,102.08
8/3/2021 21:20,13.06,193.88,101.8,102.01
8/3/2021 21:30,13.13,193.97,101.92,102.08
8/3/2021 21:40,12.96,194.16,101.76,102.17
8/3/2021 21:50,12.94,194.16,101.78,102.22
8/3/2021 22:00,13.13,194.67,101.86,102.27
8/3/2021 22:10,13.2,195.1,102,102.28
8/3/2021 22:20,13.46,195.51,102.17,102.32
8/3/2021 22:30,13.36,195.76,102.11,102.26
8/3/2021 22:40,13.19,184.4,101.97,102.31
8/3/2021 22:50,13.23,185.72,101.93,102.45
8/3/2021 23:00,13.13,196.89,101.94,102.49
8/3/2021 23:10,12.75,185.2,101.71,102.32
8/3/2021 23:20,12.64,185.59,101.62,102.36
8/3/2021 23:30,12.37,186.92,101.46,102.24
8/3/2021 23:40,12.39,186.36,101.45,102.29
8/3/2021 23:50,12.24,186.17,101.41,102.05
4/8/2021,12.44,187.54,101.51,101.82
8/4/2021 0:10,12.56,188.48,101.58,101.88
8/4/2021 0:20,12.67,188.27,101.64,101.91
8/4/2021 0:30,12.66,188.16,101.6,101.97
8/4/2021 0:40,12.6,188.39,101.53,101.99
8/4/2021 0:50,12.61,188.98,101.6,102.05
8/4/2021 1:00,12.92,188.26,101.68,101.99
8/4/2021 1:10,12.8,186.93,101.68,102.03
8/4/2021 1:20,12.31,187.96,101.46,102.02
8/4/2021 1:30,12.46,189.48,101.49,102.07
8/4/2021 1:40,12.83,189.44,101.72,102.01
8/4/2021 1:50,12.75,188.7,101.67,102.06
8/4/2021 2:00,12.46,189.9,101.56,102.05
8/4/2021 2:10,12.31,191.69,101.41,102.1
8/4/2021 2:20,12.16,192.46,101.2,102.14
8/4/2021 2:30,11.93,193.37,101.03,101.94
8/4/2021 2:40,11.7,193.14,100.93,101.63
8/4/2021 2:50,11.71,193.83,100.97,101.67
8/4/2021 3:00,11.53,195.29,100.58,101.69
8/4/2021 3:10,11.55,195.82,100.53,100.6
8/4/2021 3:20,11.46,195.29,100.33,100.43
8/4/2021 3:30,11.38,195.03,100.06,100.41
8/4/2021 3:40,11.36,194.85,99.7,99.94
8/4/2021 3:50,11.31,195.15,99.1,99.6
8/4/2021 4:00,11.44,195.07,99.27,99.21
8/4/2021 4:10,11.48,195.17,99.81,98.53
8/4/2021 4:20,11.3,196.43,99.11,97.86
8/4/2021 4:30,11.3,195.68,98.82,97.41
8/4/2021 4:40,11.37,196.12,98.55,96.16
8/4/2021 4:50,11.17,197.1,95.57,95.79
8/4/2021 5:00,11.29,196.72,96.06,95.19
8/4/2021 5:10,11.27,196.51,95.28,93.66
8/4/2021 5:20,10.99,196.57,93.62,91.97
8/4/2021 5:30,10.82,196.2,91.81,92.16
8/4/2021 5:40,10.32,197.47,85.24,90.83
8/4/2021 5:50,10.08,200.94,81.85,89.21
8/4/2021 6:00,9.45,204.67,47.34,81.99
8/4/2021 6:10,8.7,207.91,1.84,80.55
8/4/2021 6:20,8.44,207.8,0,65.45
8/4/2021 15:50,11.1,191.46,81.88,66.59
8/4/2021 16:00,11.12,189.07,85.1,68.95
8/4/2021 16:10,11,188.94,98.53,87.78
8/4/2021 16:20,10.84,188.5,96.53,89.73
8/4/2021 16:30,10.8,184.02,96.61,92.53
8/4/2021 16:40,10.71,194.49,96.05,97.37
8/4/2021 16:50,10.87,184.06,98.1,97.65
8/4/2021 17:00,11.25,184.14,99.92,97.24
8/4/2021 17:10,11.45,194.85,97.64,97.58
8/4/2021 17:20,11.22,194.2,95.88,99.59
8/4/2021 17:30,10.97,192.92,94.2,99.88
8/4/2021 17:40,10.73,189.43,94.78,100
8/4/2021 17:50,10.57,186.16,91.71,99.86
8/4/2021 18:00,10.9,186.87,95.22,99.99
8/4/2021 18:10,11.22,185.89,99.25,97.33
8/4/2021 18:20,11.53,185.65,100.54,97.55
8/4/2021 18:30,11.69,185.95,100.99,98.93
8/4/2021 18:40,11.77,186.65,98.96,99.11
8/4/2021 18:50,11.91,186.8,97.85,101.54
8/4/2021 19:00,11.97,188.22,101.15,101.63
8/4/2021 19:10,11.96,188.77,101.26,100.12
8/4/2021 19:20,11.74,188.45,100.77,99.26
8/4/2021 19:30,11.52,186.6,100.23,99.43
8/4/2021 19:40,11.33,184.95,99.15,101.33
8/4/2021 19:50,11.39,183.91,99.58,101.42
8/4/2021 20:00,11.66,183.4,100.75,100.6
8/4/2021 20:10,12.09,183.32,101.23,100.71
8/4/2021 20:20,12.38,184.67,101.52,100.81
8/4/2021 20:30,12.82,187.02,101.71,101.36
8/4/2021 20:40,13.07,185.99,101.84,101.92
8/4/2021 20:50,13.06,186.41,101.84,101.98
8/4/2021 21:00,12.93,188.11,101.76,102.04
8/4/2021 21:10,12.92,190.09,101.78,102.23
8/4/2021 21:20,13.09,191.66,101.88,102.16
8/4/2021 21:30,12.93,190.34,101.73,102.21
